ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
48767,48767,B5,G6350,S,192811555,26881210,+43.6505180,-083.4631542
39561,39561,B5,G6350,S,72849709,90982,+30.7025160,-089.1548832
42431,42431,B5,G6350,S,431449813,15347047,+37.3344734,-087.4813868
42436,42436,B5,G6350,S,48444668,373114,+37.3739497,-087.5755370
48768,48768,B5,G6350,S,271352121,2018562,+43.3708306,-083.5775391
48770,48770,B5,G6350,S,175682126,149723,+44.2511832,-083.8141843
39562,39562,B5,G6350,S,486802150,11114620,+30.5466824,-088.4894517
42437,42437,B5,G6350,S,449298222,23032502,+37.6666566,-087.9380705
95825,95825,B5,G6350,S,12249438,16890,+38.5918967,-121.4084670
95826,95826,B5,G6350,S,29845617,409499,+38.5437535,-121.3776924
95827,95827,B5,G6350,S,19683757,648975,+38.5561199,-121.3242596
95828,95828,B5,G6350,S,31909636,0,+38.4887898,-121.3958378
95829,95829,B5,G6350,S,53821823,11789,+38.4895460,-121.3234520
95830,95830,B5,G6350,S,33562382,172211,+38.4905076,-121.2841712
95831,95831,B5,G6350,S,18097102,1435342,+38.4939658,-121.5291880
95832,95832,B5,G6350,S,21414114,1511690,+38.4470502,-121.4961141
95833,95833,B5,G6350,S,20078377,979054,+38.6190486,-121.5175516
33573,33573,B5,G6350,S,45693847,2240637,+27.7228601,-082.3569228
37336,37336,B5,G6350,S,112434950,6976049,+35.3088425,-084.9315118
33576,33576,B5,G6350,S,41077885,290600,+28.3357346,-082.3378312
37337,37337,B5,G6350,S,162966544,140753,+35.7870560,-084.8506641
37338,37338,B5,G6350,S,195065181,199083,+35.4297867,-085.2095188
37339,37339,B5,G6350,S,90883387,0,+35.3799587,-085.6342303
37340,37340,B5,G6350,S,32178889,3548851,+35.0340631,-085.5175194
33578,33578,B5,G6350,S,55771978,6389563,+27.8622004,-082.3500444
37341,37341,B5,G6350,S,81297899,27041356,+35.2241762,-085.0732942
33579,33579,B5,G6350,S,55274935,1390465,+27.7962306,-082.2936530
37342,37342,B5,G6350,S,199740821,150607,+35.3919677,-085.9479998
33584,33584,B5,G6350,S,55407648,2102920,+28.0054554,-082.2943370
33585,33585,B5,G6350,S,44358769,933461,+28.7308720,-082.0860565
33592,33592,B5,G6350,S,126944061,5238300,+28.1018705,-082.2832358
37343,37343,B5,G6350,S,108928298,10450131,+35.1666685,-085.2122799
37345,37345,B5,G6350,S,148744767,307,+35.0168069,-086.2030198
33594,33594,B5,G6350,S,26901764,1120500,+27.9409344,-082.2424794
33596,33596,B5,G6350,S,30209630,947890,+27.8872147,-082.2258700
37347,37347,B5,G6350,S,125834447,14306426,+35.0634681,-085.6134179
37348,37348,B5,G6350,S,93234382,318007,+35.1316145,-086.4340510
37350,37350,B5,G6350,S,3755575,0,+34.9939205,-085.3501840
61820,61820,B5,G6350,S,16926664,799,+40.1078904,-088.2442663
53406,53406,B5,G6350,S,42928339,203597,+42.7345369,-087.8648917
53501,53501,B5,G6350,S,168878,0,+42.6062097,-089.0654992
53502,53502,B5,G6350,S,132599533,328309,+42.7304062,-089.4380687
53503,53503,B5,G6350,S,146107014,3920187,+43.1429758,-089.9575065
61821,61821,B5,G6350,S,19549529,46484,+40.1096457,-088.2749032
53504,53504,B5,G6350,S,236196202,2052068,+42.7035159,-089.8603491
53505,53505,B5,G6350,S,47697270,2673,+42.6610738,-088.8208971
53506,53506,B5,G6350,S,163949806,4783699,+43.1648264,-090.2864290
53507,53507,B5,G6350,S,163019813,63154,+42.9842831,-089.9138764
53508,53508,B5,G6350,S,179947312,1022105,+42.8661878,-089.5755816
61822,61822,B5,G6350,S,281712037,223886,+40.1364810,-088.3053070
53510,53510,B5,G6350,S,108877889,249522,+42.7453556,-090.3052377
61830,61830,B5,G6350,S,98571315,133360,+40.0330783,-088.7165082
61831,61831,B5,G6350,S,30081629,0,+40.2250902,-087.7920697
53511,53511,B5,G6350,S,286196657,3570826,+42.5539949,-089.0944443
53515,53515,B5,G6350,S,96072037,144677,+43.1150041,-089.7393383
53516,53516,B5,G6350,S,215535726,55767,+42.7969522,-089.8735045
53517,53517,B5,G6350,S,114711212,298,+43.0569828,-089.8323294
61832,61832,B5,G6350,S,67130122,2965804,+40.1362337,-087.6364661
53518,53518,B5,G6350,S,194108433,8466812,+43.2409890,-090.5951299
61833,61833,B5,G6350,S,4037124,29094,+40.0997467,-087.6442201
53520,53520,B5,G6350,S,318339822,1919421,+42.5968217,-089.3527363
53521,53521,B5,G6350,S,158527240,484669,+42.8381054,-089.4003023
61834,61834,B5,G6350,S,277930002,1443273,+40.1525459,-087.6732983
53522,53522,B5,G6350,S,100321948,365796,+42.5569093,-089.7834898
61839,61839,B5,G6350,S,86254138,0,+40.1377167,-088.6291664
61840,61840,B5,G6350,S,86485003,193160,+40.2988731,-088.3002628
53523,53523,B5,G6350,S,125529882,3215081,+42.9844090,-089.0288391
61841,61841,B5,G6350,S,149778583,801667,+40.0205942,-087.8168712
53525,53525,B5,G6350,S,144624870,389089,+42.5445335,-088.8586547
02457,02457,B5,G6350,S,413241,0,+42.2993878,-071.2742420
02458,02458,B5,G6350,S,5185778,97096,+42.3535846,-071.1881919
02459,02459,B5,G6350,S,12962349,218479,+42.3147789,-071.1920167
02460,02460,B5,G6350,S,3480936,23292,+42.3518240,-071.2084904
02461,02461,B5,G6350,S,3767375,36499,+42.3173616,-071.2065077
02462,02462,B5,G6350,S,1369304,69761,+42.3287076,-071.2559002
02464,02464,B5,G6350,S,1463147,29493,+42.3129751,-071.2188818
02465,02465,B5,G6350,S,5809255,1401,+42.3489119,-071.2263300
02466,02466,B5,G6350,S,4638226,214154,+42.3444566,-071.2486166
02467,02467,B5,G6350,S,12617254,142369,+42.3143213,-071.1527779
02468,02468,B5,G6350,S,3833281,57129,+42.3285530,-071.2295297
02472,02472,B5,G6350,S,10440629,320438,+42.3694508,-071.1779249
02474,02474,B5,G6350,S,7905852,706807,+42.4209494,-071.1563695
02476,02476,B5,G6350,S,5422175,191590,+42.4156366,-071.1756700
02478,02478,B5,G6350,S,12035139,185784,+42.3953169,-071.1802841
02481,02481,B5,G6350,S,14608338,251251,+42.3119471,-071.2755167
02482,02482,B5,G6350,S,10898526,1043140,+42.2930990,-071.2985351
02492,02492,B5,G6350,S,24675378,910116,+42.2760290,-071.2445431
02493,02493,B5,G6350,S,43575387,1316348,+42.3605016,-071.3034335
02494,02494,B5,G6350,S,7166356,220233,+42.2994895,-071.2325194
02532,02532,B5,G6350,S,36930228,6867010,+41.7517590,-070.5975518
02534,02534,B5,G6350,S,5921148,1492827,+41.6689421,-070.6194072
02535,02535,B5,G6350,S,63128923,65865490,+41.3379606,-070.7616743
75098,75098,B5,G6350,S,85301180,20369529,+33.0121346,-096.5349358
75101,75101,B5,G6350,S,2130983,0,+32.2700320,-096.7024944
75102,75102,B5,G6350,S,157211704,1547625,+32.0579379,-096.6325473
75103,75103,B5,G6350,S,516576996,8411316,+32.5168758,-095.8836220
75104,75104,B5,G6350,S,101263678,656110,+32.5801809,-096.9646745
75105,75105,B5,G6350,S,133025923,1938590,+32.2630103,-096.3876628
75109,75109,B5,G6350,S,301195770,70922489,+32.0427838,-096.3437572
75110,75110,B5,G6350,S,388354968,3480674,+32.0846136,-096.5277676
75114,75114,B5,G6350,S,112013934,1126841,+32.6105754,-096.4442563
75115,75115,B5,G6350,S,56807253,95687,+32.5994271,-096.8640746
75116,75116,B5,G6350,S,13271665,15027,+32.6606604,-096.9118821
75117,75117,B5,G6350,S,121466629,862066,+32.7150128,-095.8544608
75119,75119,B5,G6350,S,686000140,23750616,+32.3258806,-096.5882377
75124,75124,B5,G6350,S,240998004,5174699,+32.3260260,-095.9740558
75125,75125,B5,G6350,S,180443291,2062121,+32.5366996,-096.6217469
75126,75126,B5,G6350,S,200319914,2406617,+32.7431782,-096.4548996
75127,75127,B5,G6350,S,68840661,1135672,+32.6902949,-095.7899320
75132,75132,B5,G6350,S,3839177,1391,+32.9457476,-096.3738828
75134,75134,B5,G6350,S,26468508,30531,+32.6176630,-096.7780575
75135,75135,B5,G6350,S,161008433,230738,+33.0663446,-096.2214374
48472,48472,B5,G6350,S,197710190,94550,+43.5123231,-082.9632121
48473,48473,B5,G6350,S,152755834,312768,+42.9369499,-083.8205439
42025,42025,B5,G6350,S,514607485,50921996,+36.8569236,-088.3347141
48475,48475,B5,G6350,S,278838841,119075,+43.6731558,-082.9479871
48476,48476,B5,G6350,S,685243,22377,+42.9387067,-084.0300499
48502,48502,B5,G6350,S,1027683,7539,+43.0137267,-083.6883757
42027,42027,B5,G6350,S,116922925,1409962,+36.9166709,-088.6276857
42028,42028,B5,G6350,S,70221620,1382293,+37.2389100,-088.3368482
42029,42029,B5,G6350,S,120534063,5899115,+37.0064721,-088.3919601
48503,48503,B5,G6350,S,21245205,331610,+42.9999233,-083.7088642
42031,42031,B5,G6350,S,389446925,4996006,+36.6857478,-088.9913973
42032,42032,B5,G6350,S,4212651,1242948,+36.7758047,-089.1080665
42035,42035,B5,G6350,S,72828680,819630,+36.9002256,-088.8403820
42036,42036,B5,G6350,S,68734648,284223,+36.7115210,-088.2145438
42037,42037,B5,G6350,S,2644129,0,+37.1727808,-088.1877067
48504,48504,B5,G6350,S,40094007,123093,+43.0547192,-083.7437365
42038,42038,B5,G6350,S,226722436,29285204,+37.0474135,-088.0276468
42039,42039,B5,G6350,S,131957632,2666860,+36.7887093,-088.8254336
42040,42040,B5,G6350,S,84990852,546170,+36.6252956,-088.4970733
42041,42041,B5,G6350,S,285196423,1709161,+36.5503732,-088.8773521
48505,48505,B5,G6350,S,32522814,918065,+43.0703107,-083.6861174
29324,29324,B5,G6350,S,567780,32402,+34.9836864,-081.8266347
29325,29325,B5,G6350,S,400005417,2135959,+34.4651410,-081.8498163
27030,27030,B5,G6350,S,441621914,2754148,+36.4898018,-080.6291636
27040,27040,B5,G6350,S,69135823,897862,+36.1693118,-080.3930448
27041,27041,B5,G6350,S,152784849,942275,+36.4252619,-080.4872012
27042,27042,B5,G6350,S,22308809,233459,+36.3528190,-080.0642026
